mode,fold,target,benchmark,subdir,instance_id,col_idx,weight
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1162,35229,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1166,35233,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_139,35258,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_477,35615,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_479,35617,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_481,35620,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_495,35632,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_530,35671,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_572,35716,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_575,35719,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_579,35722,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_604,35751,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_649,35798,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_652,35802,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_661,35812,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_911,36078,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_934,36103,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_948,36117,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_974,36144,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_981,36152,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_990,36162,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualwebbench,,action_prediction_2,36387,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualwebbench,,element_ocr_134,37004,-4.810235841921132e-05
FIT-ALL,ALL,swebench,visualwebbench,,element_ocr_216,37095,-2.2941891372022722e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_105,37259,-4.3112452247178084e-07
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_106,37260,3.4883179465860445e-06
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_107,37261,-1.9850366889156146e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_128,37284,-1.1208608382305868e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_133,37290,-3.884708306698427e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_14,37291,1.171993385927128e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_16,37293,-4.2802055615859575e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_18,37295,-2.5772272658062405e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_2,37297,-4.2911469041083645e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_20,37298,-4.498561428473438e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_24,37302,-4.3314793627614485e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_26,37304,-3.918787804467614e-06
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_29,37307,9.037902889228619e-07
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_31,37310,-5.614450728207862e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_32,37311,-7.87328233565449e-06
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_34,37313,-1.178768651636087e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_50,37331,1.6330528426892095e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_51,37332,-2.0666271196561595e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_61,37343,-1.854004419052619e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_71,37354,1.6257435742872127e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_78,37361,4.00230635970934e-06
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_84,37368,2.8275390459339045e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_86,37370,-1.0079055688294743e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_92,37377,-4.290886723751595e-07
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_96,37381,3.606730977383376e-05
FIT-ALL,ALL,swebench,visualwebbench,,web_caption_98,37383,-1.0439214672020827e-05
FIT-ALL,ALL,swebench,visualwebbench,,webqa_130,37419,-2.2941891372022722e-05
FIT-ALL,ALL,swebench,visualwebbench,,webqa_20,37496,-1.32647893271042e-05
FIT-ALL,ALL,swebench,visualwebbench,,webqa_268,37570,-1.3264787596703462e-05
FIT-ALL,ALL,swebench,visualwebbench,,webqa_48,37638,-5.9134801116440004e-05
FIT-ALL,ALL,swebench,visualwebbench,,webqa_87,37679,-4.6009383321696575e-05
FIT-ALL,ALL,swebench_multimodal,acp_gen,acp_app_gen,29,29,-0.0023069882125642846
FIT-ALL,ALL,swebench_multimodal,acp_gen,acp_app_gen,93,81,4.009533004727824e-05
FIT-ALL,ALL,swebench_multimodal,acp_gen,acp_nexta_gen,122,389,-0.0023069882125644143
FIT-ALL,ALL,swebench_multimodal,acp_gen,acp_prog_gen,27,530,0.004220988797046042
FIT-ALL,ALL,swebench_multimodal,acp_gen,acp_val_gen,88,843,4.009533004723277e-05
FIT-ALL,ALL,swebench_multimodal,bfcl,agentic_memory_rec_sum,memory_rec_sum_45,1118,0.0013718323904998446
FIT-ALL,ALL,swebench_multimodal,bfcl,multi_turn_miss_func,multi_turn_miss_func_168,3227,0.0012414419112870456
FIT-ALL,ALL,swebench_multimodal,bfcl,non_live_simple_javascript,simple_javascript_42,4254,-0.03313963649039925
FIT-ALL,ALL,swebench_multimodal,debugbench,,python3_faulty indexing_decode-the-slanted-ciphertext,4569,0.0013718323904998494
FIT-ALL,ALL,swebench_multimodal,lifbench,list-blur_offset_query_element,9_4_6,7956,0.0013712808194361748
FIT-ALL,ALL,swebench_multimodal,lifbench,list-blur_offset_query_id,4_4_6,8172,0.006372564173006061
FIT-ALL,ALL,swebench_multimodal,lifbench,list-blur_offset_query_id,6_0_3,8219,0.0017682417193276923
FIT-ALL,ALL,swebench_multimodal,lifbench,list-offset_query_element,0_1_6,8520,-0.004257473091033598
FIT-ALL,ALL,swebench_multimodal,lifbench,list-offset_query_element,10_3_6,8568,-0.003948573408345854
FIT-ALL,ALL,swebench_multimodal,lifbench,list-offset_query_element,3_1_3,8699,-0.0035616777026464957
FIT-ALL,ALL,swebench_multimodal,lifbench,list-offset_query_element,7_3_6,8856,-0.001228669385959266
FIT-ALL,ALL,swebench_multimodal,lifbench,list-offset_query_id,1_3_3,9071,0.008794461252842518
FIT-ALL,ALL,swebench_multimodal,lifbench,list-single_query_id,0_2_13,9387,0.010126198313295094
FIT-ALL,ALL,swebench_multimodal,lifbench,list-single_query_id,2_0_6,9450,-0.0035779145740561418
FIT-ALL,ALL,swebench_multimodal,lifbench,list-single_query_id,2_1_6,9456,0.0053045308691452
FIT-ALL,ALL,swebench_multimodal,lifbench,list-single_query_id,2_2_13,9459,0.0053045308691452
FIT-ALL,ALL,swebench_multimodal,lifbench,list-single_query_id,4_3_3,9539,0.00762384919908126
FIT-ALL,ALL,swebench_multimodal,lifbench,onedoc-repeat,0_0_3,10187,-0.005286571356319335
FIT-ALL,ALL,swebench_multimodal,lifbench,onedoc-repeat,0_1_28,10192,-0.004368090623095098
FIT-ALL,ALL,swebench_multimodal,lifbench,onedoc-repeat,0_2_3,10199,-0.0033808460141847413
FIT-ALL,ALL,swebench_multimodal,lifbench,onedoc-repeat,2_2_3,10259,-5.47986332892812e-05
FIT-ALL,ALL,swebench_multimodal,lifbench,onedoc-repeat,4_4_3,10331,-0.014338940191499215
FIT-ALL,ALL,swebench_multimodal,livecodebench,codegeneration,974,11356,0.0012414419112870446
FIT-ALL,ALL,swebench_multimodal,mmmu,,validation_Accounting_2,27307,0.0012414419112870446
FIT-ALL,ALL,swebench_multimodal,mmmu,,validation_Agriculture_2,27335,0.0012414419112870446
FIT-ALL,ALL,swebench_multimodal,mmmu,,validation_Architecture_and_Engineering_7,27378,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,mmmu,,validation_Computer_Science_2,27560,0.0012414419112870446
FIT-ALL,ALL,swebench_multimodal,mmmu,,validation_Energy_and_Power_26,27694,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,mmmu,,validation_Physics_5,28024,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,102,28119,0.002889251736593517
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,143,28164,0.004220988797046093
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,267,28301,0.003588525453898728
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,333,28375,0.004220988797046093
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,395,28443,0.0013718323904998457
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,408,28458,0.003588525453898728
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,420,28472,0.004220988797046093
FIT-ALL,ALL,swebench_multimodal,planbench,task_1_plan_generation,475,28532,0.002889251736593517
FIT-ALL,ALL,swebench_multimodal,planbench,task_2_plan_optimality,176,28700,0.0013718323904998457
FIT-ALL,ALL,swebench_multimodal,planbench,task_2_plan_optimality,189,28714,0.002889251736593517
FIT-ALL,ALL,swebench_multimodal,planbench,task_2_plan_optimality,412,28963,0.0007393690473524816
FIT-ALL,ALL,swebench_multimodal,planbench,task_2_plan_optimality,481,29039,0.0012414419112870446
FIT-ALL,ALL,swebench_multimodal,planbench,task_2_plan_optimality,7,29082,4.009533004726735e-05
FIT-ALL,ALL,swebench_multimodal,planbench,task_2_plan_optimality,73,29086,0.0013718323904998457
FIT-ALL,ALL,swebench_multimodal,planbench,task_4_plan_reuse,128,29469,0.0007393690473524816
FIT-ALL,ALL,swebench_multimodal,planbench,task_4_plan_reuse,156,29500,0.003588525453898728
FIT-ALL,ALL,swebench_multimodal,planbench,task_4_plan_reuse,286,29644,0.0007393690473524816
FIT-ALL,ALL,swebench_multimodal,planbench,task_4_plan_reuse,329,29692,0.0007393690473524816
FIT-ALL,ALL,swebench_multimodal,planbench,task_4_plan_reuse,400,29772,0.003588525453898728
FIT-ALL,ALL,swebench_multimodal,planbench,task_4_plan_reuse,87,29923,0.003588525453898728
FIT-ALL,ALL,swebench_multimodal,planbench,task_7_plan_execution,367,30843,0.0005421681939818325
FIT-ALL,ALL,swebench_multimodal,planbench,task_8_1_goal_shuffling,375,31353,0.0005421681939818325
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_if_python_codebleu,repobench_44,32802,0.01091566988316001
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_if_python_edit_similarity,repobench_19,32964,0.006514943080041526
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_if_python_edit_similarity,repobench_44,33120,0.0010012171756180232
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_codebleu,repobench_105,33416,-0.007575450790229732
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_codebleu,repobench_13,33443,0.0063826042277121235
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_codebleu,repobench_229,33552,-0.0001474464908880152
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_codebleu,repobench_252,33574,0.0023823719207433343
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_codebleu,repobench_290,33616,0.006912036536889072
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_edit_similarity,repobench_257,33889,0.0035393174447931586
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_edit_similarity,repobench_290,33926,-0.016063479153964152
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xff_python_edit_similarity,repobench_303,33941,-0.001655838167641212
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_codebleu,repobench_211,34360,-0.0011398998718758792
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_codebleu,repobench_264,34417,-0.0008874811599389821
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_codebleu,repobench_291,34447,-0.005580863419443878
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_codebleu,repobench_298,34453,-0.010477374004967725
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_edit_similarity,repobench_145,34591,0.008573847693907516
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_edit_similarity,repobench_154,34601,0.014570742671151953
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_edit_similarity,repobench_236,34692,0.002866022583812112
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_edit_similarity,repobench_290,34752,-0.0010057033904966785
FIT-ALL,ALL,swebench_multimodal,repobench,repobench_xfr_python_exact_match,repobench_291,34995,0.0012414419112870446
FIT-ALL,ALL,swebench_multimodal,visualpuzzles,,visualpuzzles_117,35235,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualpuzzles,,visualpuzzles_314,35448,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualpuzzles,,visualpuzzles_758,35917,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualpuzzles,,visualpuzzles_863,36027,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualpuzzles,,visualpuzzles_873,36037,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,action_prediction_0,36275,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,action_prediction_222,36413,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,action_prediction_98,36554,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,heading_ocr_40,37240,0.0012414419112870446
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,web_caption_56,37337,0.0027349153899749036
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,web_caption_77,37360,-0.0007490204346259796
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,web_caption_90,37375,0.0016848691000255374
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,webqa_192,37487,-0.002306988212564417
FIT-ALL,ALL,swebench_multimodal,visualwebbench,,webqa_215,37513,0.0005421681939818325
FIT-ALL,ALL,swtbench,bfcl,live_irrelevance,live_irrelevance_786,1931,-0.004831159715712356
FIT-ALL,ALL,swtbench,mmmu,,validation_Agriculture_4,27347,-0.0036457844699391653
FIT-ALL,ALL,swtbench,mmmu,,validation_Art_6,27407,-0.003645784469939157
FIT-ALL,ALL,swtbench,mmmu,,validation_Clinical_Medicine_23,27534,-0.003645784469939104
FIT-ALL,ALL,swtbench,mmmu,,validation_Materials_4,27883,-0.003645784469939154
FIT-ALL,ALL,swtbench,mmmu,,validation_Pharmacy_24,27988,-0.0036457844699391297
FIT-ALL,ALL,swtbench,mmmu,,validation_Sociology_17,28095,-0.003645784469939103
FIT-ALL,ALL,swtbench,mmmu,,validation_Sociology_23,28101,-0.003645784469939181
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,163,30007,-0.0015223801215800993
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,171,30016,-0.001522380121580091
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,175,30020,-0.0015223801215800991
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,184,30030,-0.0015223801215801067
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,19,30036,-0.0015223801215801043
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,190,30037,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,20,30048,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,208,30057,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,211,30061,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,218,30068,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,222,30073,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,223,30074,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,239,30091,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,259,30113,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,264,30119,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,266,30121,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,268,30123,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,271,30127,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,277,30133,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,294,30152,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,296,30154,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,298,30156,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,300,30160,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,311,30172,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,317,30178,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,321,30183,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,322,30184,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,328,30190,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,394,30263,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,410,30282,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,47,30347,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,470,30348,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,476,30354,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,477,30355,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,483,30362,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,487,30366,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,49,30369,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,499,30379,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,51,30384,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,53,30386,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,60,30394,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,64,30398,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,67,30401,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,7,30404,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,75,30410,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,8,30415,-0.0015223801215801035
FIT-ALL,ALL,swtbench,planbench,task_5_plan_generalization,91,30428,-0.0015223801215801035
FIT-ALL,ALL,swtbench,visualpuzzles,,visualpuzzles_247,35375,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualpuzzles,,visualpuzzles_404,35541,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualpuzzles,,visualpuzzles_803,35965,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualpuzzles,,visualpuzzles_818,35980,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualpuzzles,,visualpuzzles_913,36080,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualpuzzles,,visualpuzzles_997,36169,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualwebbench,,action_prediction_279,36475,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualwebbench,,element_ground_108,36567,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualwebbench,,element_ground_267,36743,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualwebbench,,element_ground_65,36926,-0.0036457844699391566
FIT-ALL,ALL,swtbench,visualwebbench,,element_ocr_19,37065,0.036158810349613844
FIT-ALL,ALL,swtbench,visualwebbench,,element_ocr_217,37096,0.033324956174787444
FIT-ALL,ALL,swtbench,visualwebbench,,element_ocr_69,37175,-0.04499677806304736
FIT-ALL,ALL,swtbench,visualwebbench,,element_ocr_78,37185,0.043331521524980064
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_0,37251,-0.003606917032636086
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_102,37256,-0.017881813415939134
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_113,37268,0.04256454363027492
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_116,37271,-0.012421380573488206
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_133,37290,-0.0008264608356850666
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_14,37291,0.03685381975233136
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_16,37293,0.02442867866188912
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_24,37302,0.0017672581203233156
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_29,37307,-0.0034824047444180118
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_31,37310,0.017837334391963194
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_4,37319,0.051170144075668944
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_50,37331,-0.008725954937784872
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_63,37345,0.016391097565284448
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_72,37355,0.04543794630105403
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_75,37358,-0.02808450811811626
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_78,37361,0.0002273708120786583
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_79,37362,0.015743054786627533
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_84,37368,0.021975160621673966
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_96,37381,0.039922278065410655
FIT-ALL,ALL,swtbench,visualwebbench,,web_caption_98,37383,0.05539620991916565
FIT-ALL,ALL,swtbench,visualwebbench,,webqa_111,37398,0.06343728468954246
FIT-ALL,ALL,swtbench,visualwebbench,,webqa_115,37402,0.03726194345433535
FIT-ALL,ALL,swtbench,visualwebbench,,webqa_151,37442,-0.08588094680529577
