model,ins_id,param_id,length,format,correct,ori,total_score
gpt-5.2,7,2,6,1.0,1.0,1.0,1.0
gpt-5.2,7,3,6,1.0,1.0,1.0,1.0
gpt-5.2,7,4,6,1.0,0.0,1.0,0.5
gpt-5.2,7,5,6,1.0,1.0,1.0,1.0
gpt-5.2,8,0,6,1.0,0.0,1.0,0.5
gpt-5.2,8,1,6,1.0,1.0,1.0,1.0
gpt-5.2,8,2,6,1.0,1.0,1.0,1.0
gpt-5.2,8,3,6,1.0,1.0,1.0,1.0
gpt-5.2,8,4,6,1.0,0.0,1.0,0.5
gpt-5.2,8,5,6,1.0,1.0,1.0,1.0
gpt-5.2,9,0,6,1.0,1.0,1.0,1.0
gpt-5.2,9,1,6,1.0,1.0,1.0,1.0
gpt-5.2,9,2,6,1.0,1.0,1.0,1.0
gpt-5.2,9,3,6,1.0,1.0,1.0,1.0
gpt-5.2,9,4,6,1.0,0.0,1.0,0.5
gpt-5.2,9,5,6,1.0,1.0,1.0,1.0
gpt-5.2,10,0,6,1.0,1.0,1.0,1.0
gpt-5.2,10,1,6,1.0,0.0,1.0,0.5
gpt-5.2,10,2,6,1.0,1.0,1.0,1.0
gpt-5.2,10,3,6,1.0,1.0,1.0,1.0
gpt-5.2,10,4,6,1.0,1.0,1.0,1.0
gpt-5.2,10,5,6,1.0,1.0,1.0,1.0
gpt-5.2,11,0,6,1.0,1.0,1.0,1.0
gpt-5.2,11,1,6,1.0,1.0,1.0,1.0
gpt-5.2,11,2,6,1.0,1.0,1.0,1.0
gpt-5.2,11,3,6,1.0,1.0,1.0,1.0
gpt-5.2,11,4,6,1.0,1.0,1.0,1.0
gpt-5.2,11,5,6,1.0,1.0,1.0,1.0
gpt-5.2,0,0,13,1.0,1.0,1.0,1.0
gpt-5.2,0,1,13,1.0,1.0,1.0,1.0
gpt-5.2,0,2,13,1.0,1.0,1.0,1.0
gpt-5.2,0,3,13,1.0,1.0,1.0,1.0
gpt-5.2,0,4,13,1.0,0.0,1.0,0.5
gpt-5.2,0,5,13,1.0,1.0,1.0,1.0
gpt-5.2,1,0,13,1.0,1.0,1.0,1.0
gpt-5.2,1,1,13,1.0,1.0,1.0,1.0
gpt-5.2,1,2,13,1.0,1.0,1.0,1.0
gpt-5.2,1,3,13,1.0,1.0,1.0,1.0
gpt-5.2,1,4,13,1.0,1.0,1.0,1.0
gpt-5.2,1,5,13,1.0,1.0,1.0,1.0
gpt-5.2,2,0,13,1.0,0.0,1.0,0.5
gpt-5.2,2,1,13,1.0,0.5,1.0,0.75
gpt-5.2,2,2,13,1.0,0.0,1.0,0.5
gpt-5.2,2,3,13,1.0,0.0,1.0,0.5
gpt-5.2,2,4,13,1.0,0.0,1.0,0.5
gpt-5.2,2,5,13,1.0,0.5,1.0,0.75
gpt-5.2,3,0,13,1.0,1.0,1.0,1.0
gpt-5.2,3,1,13,1.0,1.0,1.0,1.0
gpt-5.2,3,2,13,1.0,1.0,1.0,1.0
gpt-5.2,3,3,13,1.0,1.0,1.0,1.0
gpt-5.2,3,4,13,1.0,1.0,1.0,1.0
gpt-5.2,3,5,13,1.0,1.0,1.0,1.0
gpt-5.2,4,0,13,1.0,1.0,1.0,1.0
gpt-5.2,4,1,13,1.0,1.0,1.0,1.0
gpt-5.2,4,2,13,1.0,1.0,1.0,1.0
gpt-5.2,4,3,13,1.0,1.0,1.0,1.0
gpt-5.2,4,4,13,1.0,1.0,1.0,1.0
gpt-5.2,4,5,13,1.0,1.0,1.0,1.0
gpt-5.2,5,0,13,1.0,1.0,1.0,1.0
gpt-5.2,5,1,13,1.0,1.0,1.0,1.0
gpt-5.2,5,2,13,1.0,1.0,1.0,1.0
gpt-5.2,5,3,13,1.0,1.0,1.0,1.0
gpt-5.2,5,4,13,1.0,1.0,1.0,1.0
gpt-5.2,5,5,13,1.0,1.0,1.0,1.0
gpt-5.2,6,0,13,1.0,0.0,1.0,0.5
gpt-5.2,6,1,13,1.0,1.0,1.0,1.0
gpt-5.2,6,2,13,1.0,1.0,1.0,1.0
gpt-5.2,6,3,13,1.0,1.0,1.0,1.0
gpt-5.2,6,4,13,1.0,1.0,1.0,1.0
gpt-5.2,6,5,13,1.0,1.0,1.0,1.0
gpt-5.2,7,0,13,1.0,1.0,1.0,1.0
gpt-5.2,7,1,13,1.0,1.0,1.0,1.0
gpt-5.2,7,2,13,1.0,1.0,1.0,1.0
gpt-5.2,7,3,13,1.0,1.0,1.0,1.0
gpt-5.2,7,4,13,1.0,1.0,1.0,1.0
gpt-5.2,7,5,13,1.0,1.0,1.0,1.0
gpt-5.2,8,0,13,1.0,0.0,1.0,0.5
gpt-5.2,8,1,13,1.0,1.0,1.0,1.0
gpt-5.2,8,2,13,1.0,1.0,1.0,1.0
gpt-5.2,8,3,13,1.0,1.0,1.0,1.0
gpt-5.2,8,4,13,1.0,1.0,1.0,1.0
gpt-5.2,8,5,13,1.0,1.0,1.0,1.0
gpt-5.2,9,0,13,1.0,1.0,1.0,1.0
gpt-5.2,9,1,13,1.0,1.0,1.0,1.0
gpt-5.2,9,2,13,1.0,1.0,1.0,1.0
gpt-5.2,9,3,13,1.0,1.0,1.0,1.0
gpt-5.2,9,4,13,1.0,1.0,1.0,1.0
gpt-5.2,9,5,13,1.0,1.0,1.0,1.0
gpt-5.2,10,0,13,1.0,1.0,1.0,1.0
gpt-5.2,10,1,13,1.0,1.0,1.0,1.0
gpt-5.2,10,2,13,1.0,1.0,1.0,1.0
gpt-5.2,10,3,13,1.0,1.0,1.0,1.0
gpt-5.2,10,4,13,1.0,1.0,1.0,1.0
gpt-5.2,10,5,13,1.0,1.0,1.0,1.0
gpt-5.2,11,0,13,1.0,1.0,1.0,1.0
gpt-5.2,11,1,13,1.0,1.0,1.0,1.0
gpt-5.2,11,2,13,1.0,1.0,1.0,1.0
gpt-5.2,11,3,13,1.0,1.0,1.0,1.0
gpt-5.2,11,4,13,1.0,1.0,1.0,1.0
gpt-5.2,11,5,13,1.0,1.0,1.0,1.0
gpt-5.2,0,0,28,1.0,0.0,1.0,0.5
gpt-5.2,0,1,28,1.0,1.0,1.0,1.0
gpt-5.2,0,2,28,1.0,1.0,1.0,1.0
gpt-5.2,0,3,28,1.0,1.0,1.0,1.0
gpt-5.2,0,4,28,1.0,0.5,1.0,0.75
gpt-5.2,0,5,28,1.0,0.5,1.0,0.75
gpt-5.2,1,0,28,1.0,1.0,1.0,1.0
gpt-5.2,1,1,28,1.0,1.0,1.0,1.0
gpt-5.2,1,2,28,1.0,1.0,1.0,1.0
gpt-5.2,1,3,28,1.0,1.0,1.0,1.0
gpt-5.2,1,4,28,1.0,1.0,1.0,1.0
gpt-5.2,1,5,28,1.0,1.0,1.0,1.0
gpt-5.2,2,0,28,1.0,0.0,1.0,0.5
gpt-5.2,2,1,28,1.0,0.5,1.0,0.75
gpt-5.2,2,2,28,1.0,1.0,1.0,1.0
gpt-5.2,2,3,28,1.0,1.0,1.0,1.0
gpt-5.2,2,4,28,1.0,1.0,1.0,1.0
gpt-5.2,2,5,28,1.0,0.5,1.0,0.75
gpt-5.2,3,0,28,1.0,1.0,1.0,1.0
gpt-5.2,3,1,28,1.0,1.0,1.0,1.0
gpt-5.2,3,2,28,1.0,1.0,1.0,1.0
gpt-5.2,3,3,28,1.0,1.0,1.0,1.0
gpt-5.2,3,4,28,1.0,1.0,1.0,1.0
gpt-5.2,3,5,28,1.0,1.0,1.0,1.0
gpt-5.2,4,0,28,1.0,1.0,1.0,1.0
gpt-5.2,4,1,28,1.0,1.0,1.0,1.0
gpt-5.2,4,2,28,1.0,1.0,1.0,1.0
gpt-5.2,4,3,28,1.0,1.0,1.0,1.0
gpt-5.2,4,4,28,1.0,1.0,1.0,1.0
gpt-5.2,4,5,28,1.0,1.0,1.0,1.0
gpt-5.2,5,0,28,1.0,1.0,1.0,1.0
gpt-5.2,5,1,28,1.0,1.0,1.0,1.0
gpt-5.2,5,2,28,1.0,1.0,1.0,1.0
gpt-5.2,5,3,28,1.0,1.0,1.0,1.0
gpt-5.2,5,4,28,1.0,1.0,1.0,1.0
gpt-5.2,5,5,28,1.0,1.0,1.0,1.0
gpt-5.2,6,0,28,1.0,0.0,1.0,0.5
gpt-5.2,6,1,28,1.0,1.0,1.0,1.0
gpt-5.2,6,2,28,1.0,0.0,1.0,0.5
gpt-5.2,6,3,28,1.0,1.0,1.0,1.0
gpt-5.2,6,4,28,1.0,1.0,1.0,1.0
gpt-5.2,6,5,28,1.0,1.0,1.0,1.0
gpt-5.2,7,0,28,1.0,0.0,1.0,0.5
gpt-5.2,7,1,28,1.0,1.0,1.0,1.0
gpt-5.2,7,2,28,1.0,0.0,1.0,0.5
gpt-5.2,7,3,28,1.0,1.0,1.0,1.0
gpt-5.2,7,4,28,1.0,1.0,1.0,1.0
gpt-5.2,7,5,28,1.0,1.0,1.0,1.0
gpt-5.2,8,0,28,1.0,1.0,1.0,1.0
gpt-5.2,8,1,28,1.0,1.0,1.0,1.0
gpt-5.2,8,2,28,1.0,0.0,1.0,0.5
gpt-5.2,8,3,28,1.0,1.0,1.0,1.0
gpt-5.2,8,4,28,1.0,1.0,1.0,1.0
gpt-5.2,8,5,28,1.0,1.0,1.0,1.0
gpt-5.2,9,0,28,1.0,0.0,1.0,0.5
gpt-5.2,9,1,28,1.0,1.0,1.0,1.0
gpt-5.2,9,2,28,1.0,0.0,1.0,0.5
gpt-5.2,9,3,28,1.0,1.0,1.0,1.0
gpt-5.2,9,4,28,1.0,0.0,1.0,0.5
gpt-5.2,9,5,28,1.0,1.0,1.0,1.0
gpt-5.2,10,0,28,1.0,0.0,1.0,0.5
gpt-5.2,10,1,28,1.0,1.0,1.0,1.0
gpt-5.2,10,2,28,1.0,0.0,1.0,0.5
gpt-5.2,10,3,28,1.0,1.0,1.0,1.0
gpt-5.2,10,4,28,1.0,1.0,1.0,1.0
gpt-5.2,10,5,28,1.0,1.0,1.0,1.0
gpt-5.2,11,0,28,1.0,1.0,1.0,1.0
gpt-5.2,11,1,28,1.0,1.0,1.0,1.0
gpt-5.2,11,2,28,1.0,0.0,1.0,0.5
gpt-5.2,11,3,28,1.0,1.0,1.0,1.0
gpt-5.2,11,4,28,1.0,0.0,1.0,0.5
gpt-5.2,11,5,28,1.0,1.0,1.0,1.0
gpt-5.2,0,0,60,1.0,1.0,1.0,1.0
gpt-5.2,0,1,60,1.0,1.0,1.0,1.0
gpt-5.2,0,2,60,1.0,0.5,1.0,0.75
gpt-5.2,0,3,60,1.0,1.0,1.0,1.0
gpt-5.2,0,4,60,1.0,1.0,1.0,1.0
gpt-5.2,0,5,60,1.0,1.0,1.0,1.0
gpt-5.2,1,0,60,1.0,1.0,1.0,1.0
gpt-5.2,1,1,60,1.0,1.0,1.0,1.0
gpt-5.2,1,2,60,1.0,1.0,1.0,1.0
gpt-5.2,1,3,60,1.0,1.0,1.0,1.0
gpt-5.2,1,4,60,1.0,1.0,1.0,1.0
gpt-5.2,1,5,60,1.0,1.0,1.0,1.0
gpt-5.2,2,0,60,1.0,0.0,1.0,0.5
gpt-5.2,2,1,60,1.0,0.5,1.0,0.75
gpt-5.2,2,2,60,1.0,0.5,1.0,0.75
gpt-5.2,2,3,60,1.0,1.0,1.0,1.0
gpt-5.2,2,4,60,1.0,1.0,1.0,1.0
gpt-5.2,2,5,60,1.0,0.5,1.0,0.75
gpt-5.2,3,0,60,1.0,1.0,1.0,1.0
gpt-5.2,3,1,60,1.0,1.0,1.0,1.0
gpt-5.2,3,2,60,1.0,1.0,1.0,1.0
gpt-5.2,3,3,60,1.0,1.0,1.0,1.0
gpt-5.2,3,4,60,1.0,1.0,1.0,1.0
gpt-5.2,3,5,60,1.0,1.0,1.0,1.0
gpt-5.2,4,0,60,1.0,1.0,1.0,1.0
gpt-5.2,4,1,60,1.0,1.0,1.0,1.0
gpt-5.2,4,2,60,1.0,1.0,1.0,1.0
gpt-5.2,4,3,60,1.0,1.0,1.0,1.0
gpt-5.2,4,4,60,1.0,1.0,1.0,1.0
gpt-5.2,4,5,60,1.0,1.0,1.0,1.0
gpt-5.2,5,0,60,1.0,1.0,1.0,1.0
gpt-5.2,5,1,60,1.0,1.0,1.0,1.0
gpt-5.2,5,2,60,1.0,1.0,1.0,1.0
gpt-5.2,5,3,60,1.0,1.0,1.0,1.0
gpt-5.2,5,4,60,1.0,1.0,1.0,1.0
gpt-5.2,5,5,60,1.0,1.0,1.0,1.0
gpt-5.2,6,0,60,1.0,0.0,1.0,0.5
gpt-5.2,6,1,60,1.0,1.0,1.0,1.0
gpt-5.2,6,2,60,1.0,0.5,1.0,0.75
gpt-5.2,6,3,60,1.0,1.0,1.0,1.0
gpt-5.2,6,4,60,1.0,1.0,1.0,1.0
gpt-5.2,6,5,60,1.0,1.0,1.0,1.0
gpt-5.2,7,0,60,1.0,0.0,1.0,0.5
gpt-5.2,7,1,60,1.0,1.0,1.0,1.0
gpt-5.2,7,2,60,1.0,0.5,1.0,0.75
gpt-5.2,7,3,60,1.0,1.0,1.0,1.0
gpt-5.2,7,4,60,1.0,1.0,1.0,1.0
gpt-5.2,7,5,60,1.0,1.0,1.0,1.0
gpt-5.2,8,0,60,1.0,0.0,1.0,0.5
gpt-5.2,8,1,60,1.0,1.0,1.0,1.0
gpt-5.2,8,2,60,1.0,0.5,1.0,0.75
gpt-5.2,8,3,60,1.0,1.0,1.0,1.0
gpt-5.2,8,4,60,1.0,1.0,1.0,1.0
gpt-5.2,8,5,60,1.0,1.0,1.0,1.0
gpt-5.2,9,0,60,1.0,0.0,1.0,0.5
gpt-5.2,9,1,60,1.0,1.0,1.0,1.0
gpt-5.2,9,2,60,1.0,0.5,1.0,0.75
gpt-5.2,9,3,60,1.0,1.0,1.0,1.0
gpt-5.2,9,4,60,1.0,1.0,1.0,1.0
gpt-5.2,9,5,60,1.0,1.0,1.0,1.0
gpt-5.2,10,0,60,1.0,0.0,1.0,0.5
gpt-5.2,10,1,60,1.0,1.0,1.0,1.0
gpt-5.2,10,2,60,1.0,1.0,1.0,1.0
gpt-5.2,10,3,60,1.0,0.0,1.0,0.5
gpt-5.2,10,4,60,1.0,1.0,1.0,1.0
gpt-5.2,10,5,60,1.0,1.0,1.0,1.0
gpt-5.2,11,0,60,1.0,0.0,1.0,0.5
gpt-5.2,11,1,60,1.0,1.0,1.0,1.0
gpt-5.2,11,2,60,1.0,1.0,1.0,1.0
gpt-5.2,11,3,60,1.0,0.0,1.0,0.5
gpt-5.2,11,4,60,1.0,1.0,1.0,1.0
gpt-5.2,11,5,60,1.0,1.0,1.0,1.0
gpt-5.2,0,0,120,1.0,0.0,1.0,0.5
gpt-5.2,0,1,120,1.0,1.0,1.0,1.0
gpt-5.2,0,2,120,1.0,0.5,1.0,0.75
gpt-5.2,0,3,120,1.0,0.0,1.0,0.5
gpt-5.2,0,4,120,1.0,1.0,1.0,1.0
gpt-5.2,0,5,120,1.0,0.0,1.0,0.5
gpt-5.2,1,0,120,1.0,1.0,1.0,1.0
gpt-5.2,1,1,120,1.0,1.0,1.0,1.0
gpt-5.2,1,2,120,1.0,1.0,1.0,1.0
gpt-5.2,1,3,120,1.0,0.0,1.0,0.5
gpt-5.2,1,4,120,1.0,1.0,1.0,1.0
gpt-5.2,1,5,120,1.0,1.0,1.0,1.0
gpt-5.2,2,0,120,1.0,0.0,1.0,0.5
gpt-5.2,2,1,120,1.0,0.5,1.0,0.75
gpt-5.2,2,2,120,1.0,1.0,1.0,1.0
gpt-5.2,2,3,120,1.0,0.5,1.0,0.75
gpt-5.2,2,4,120,1.0,1.0,1.0,1.0
gpt-5.2,2,5,120,1.0,0.0,1.0,0.5
gpt-5.2,3,0,120,1.0,1.0,1.0,1.0
gpt-5.2,3,1,120,1.0,1.0,1.0,1.0
gpt-5.2,3,2,120,1.0,1.0,1.0,1.0
gpt-5.2,3,3,120,1.0,0.0,1.0,0.5
gpt-5.2,3,4,120,1.0,1.0,1.0,1.0
gpt-5.2,3,5,120,1.0,1.0,1.0,1.0
gpt-5.2,4,0,120,1.0,1.0,1.0,1.0
gpt-5.2,4,1,120,1.0,1.0,1.0,1.0
gpt-5.2,4,2,120,1.0,1.0,1.0,1.0
gpt-5.2,4,3,120,1.0,0.0,1.0,0.5
gpt-5.2,4,4,120,1.0,1.0,1.0,1.0
gpt-5.2,4,5,120,1.0,1.0,1.0,1.0
gpt-5.2,5,0,120,1.0,1.0,1.0,1.0
gpt-5.2,5,1,120,1.0,1.0,1.0,1.0
gpt-5.2,5,2,120,1.0,1.0,1.0,1.0
gpt-5.2,5,3,120,1.0,0.0,1.0,0.5
gpt-5.2,5,4,120,1.0,1.0,1.0,1.0
gpt-5.2,5,5,120,1.0,1.0,1.0,1.0
gpt-5.2,6,0,120,1.0,0.0,1.0,0.5
gpt-5.2,6,1,120,1.0,1.0,1.0,1.0
gpt-5.2,6,2,120,1.0,1.0,1.0,1.0
gpt-5.2,6,3,120,1.0,1.0,1.0,1.0
gpt-5.2,6,4,120,1.0,1.0,1.0,1.0
gpt-5.2,6,5,120,1.0,1.0,1.0,1.0
gpt-5.2,7,0,120,1.0,0.0,1.0,0.5
gpt-5.2,7,1,120,1.0,1.0,1.0,1.0
gpt-5.2,7,2,120,1.0,1.0,1.0,1.0
gpt-5.2,7,3,120,1.0,1.0,1.0,1.0
gpt-5.2,7,4,120,1.0,0.5,1.0,0.75
gpt-5.2,7,5,120,1.0,1.0,1.0,1.0
gpt-5.2,8,0,120,1.0,0.0,1.0,0.5
gpt-5.2,8,1,120,1.0,0.0,1.0,0.5
gpt-5.2,8,2,120,1.0,1.0,1.0,1.0
gpt-5.2,8,3,120,1.0,1.0,1.0,1.0
gpt-5.2,8,4,120,1.0,0.5,1.0,0.75
gpt-5.2,8,5,120,1.0,1.0,1.0,1.0
gpt-5.2,9,0,120,1.0,0.0,1.0,0.5
gpt-5.2,9,1,120,1.0,1.0,1.0,1.0
gpt-5.2,9,2,120,1.0,0.5,1.0,0.75
gpt-5.2,9,3,120,1.0,1.0,1.0,1.0
gpt-5.2,9,4,120,1.0,1.0,1.0,1.0
gpt-5.2,9,5,120,1.0,1.0,1.0,1.0
gpt-5.2,10,0,120,1.0,0.0,1.0,0.5
gpt-5.2,10,1,120,1.0,1.0,1.0,1.0
gpt-5.2,10,2,120,1.0,0.5,1.0,0.75
gpt-5.2,10,3,120,1.0,1.0,1.0,1.0
gpt-5.2,10,4,120,1.0,1.0,1.0,1.0
gpt-5.2,10,5,120,1.0,1.0,1.0,1.0
gpt-5.2,11,0,120,1.0,1.0,1.0,1.0
gpt-5.2,11,1,120,1.0,1.0,1.0,1.0
gpt-5.2,11,2,120,1.0,1.0,1.0,1.0
gpt-5.2,11,3,120,1.0,1.0,1.0,1.0
gpt-5.2,11,4,120,1.0,1.0,1.0,1.0
gpt-5.2,11,5,120,1.0,1.0,1.0,1.0
gpt-oss-120b,0,0,3,0.5,1.0,1.0,0.875
gpt-oss-120b,0,1,3,0.5,1.0,1.0,0.875
gpt-oss-120b,0,2,3,0.5,1.0,1.0,0.875
gpt-oss-120b,0,3,3,0.5,1.0,1.0,0.875
gpt-oss-120b,0,4,3,0.5,1.0,1.0,0.875
gpt-oss-120b,0,5,3,1.0,1.0,1.0,1.0
gpt-oss-120b,1,0,3,0.5,1.0,1.0,0.875
gpt-oss-120b,1,1,3,0.5,1.0,1.0,0.875
gpt-oss-120b,1,2,3,0.5,1.0,1.0,0.875
gpt-oss-120b,1,3,3,0.5,1.0,1.0,0.875
gpt-oss-120b,1,4,3,0.5,1.0,1.0,0.875
gpt-oss-120b,1,5,3,0.5,1.0,1.0,0.875
gpt-oss-120b,2,0,3,1.0,0.0,1.0,0.5
gpt-oss-120b,2,1,3,1.0,0.5,1.0,0.75
gpt-oss-120b,2,2,3,1.0,0.5,1.0,0.75
gpt-oss-120b,2,3,3,1.0,1.0,1.0,1.0
gpt-oss-120b,2,4,3,1.0,0.5,1.0,0.75
gpt-oss-120b,2,5,3,1.0,1.0,1.0,1.0
gpt-oss-120b,3,0,3,0.5,1.0,1.0,0.875
gpt-oss-120b,3,1,3,0.5,1.0,1.0,0.875
gpt-oss-120b,3,2,3,0.5,1.0,1.0,0.875
gpt-oss-120b,3,3,3,0.5,1.0,1.0,0.875
gpt-oss-120b,3,4,3,1.0,1.0,1.0,1.0
gpt-oss-120b,3,5,3,0.5,1.0,1.0,0.875
gpt-oss-120b,4,0,3,0.5,1.0,1.0,0.875
gpt-oss-120b,4,1,3,0.5,1.0,1.0,0.875
gpt-oss-120b,4,2,3,0.5,1.0,1.0,0.875
gpt-oss-120b,4,3,3,0.5,1.0,1.0,0.875
gpt-oss-120b,4,4,3,1.0,1.0,1.0,1.0
gpt-oss-120b,4,5,3,1.0,1.0,1.0,1.0
