model,ins_id,param_id,length,format,num,correct,order,total_score
gpt-oss-120b,3,2,6,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,3,3,6,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,3,4,6,0.75,1.0,0.4000000000000001,1.0,0.77
gpt-oss-120b,4,0,6,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,4,1,6,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,4,2,6,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,4,3,6,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,4,4,6,0.75,1.0,0.5,0.0,0.6
gpt-oss-120b,0,0,13,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,0,1,13,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,0,2,13,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,0,3,13,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,0,4,13,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,1,0,13,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,1,1,13,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,1,2,13,0.75,1.0,0.8333333333333334,1.0,0.9
gpt-oss-120b,1,3,13,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,1,4,13,0.75,1.0,0.4000000000000001,1.0,0.77
gpt-oss-120b,2,0,13,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,2,1,13,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,2,2,13,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,2,3,13,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,2,4,13,0.75,1.0,0.3,1.0,0.74
gpt-oss-120b,3,0,13,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,1,13,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,3,2,13,0.75,1.0,0.8333333333333334,1.0,0.9
gpt-oss-120b,3,3,13,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,3,4,13,0.75,1.0,0.3,1.0,0.74
gpt-oss-120b,4,0,13,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,1,13,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,4,2,13,0.75,1.0,0.8333333333333334,1.0,0.9
gpt-oss-120b,4,3,13,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,4,4,13,0.75,1.0,0.20000000000000004,1.0,0.71
gpt-oss-120b,0,0,28,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,0,1,28,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,0,2,28,0.75,1.0,0.5,0.0,0.6
gpt-oss-120b,0,3,28,0.75,1.0,0.375,1.0,0.7625
gpt-oss-120b,0,4,28,0.75,1.0,0.20000000000000004,1.0,0.71
gpt-oss-120b,1,0,28,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,1,1,28,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,1,2,28,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,1,3,28,0.75,1.0,0.25,1.0,0.725
gpt-oss-120b,1,4,28,0.75,1.0,0.4000000000000001,1.0,0.77
gpt-oss-120b,2,0,28,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,1,28,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,2,2,28,0.75,1.0,0.3333333333333333,1.0,0.75
gpt-oss-120b,2,3,28,0.75,1.0,0.375,1.0,0.7625
gpt-oss-120b,2,4,28,0.75,1.0,0.3,1.0,0.74
gpt-oss-120b,3,0,28,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,1,28,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,3,2,28,0.75,1.0,0.5,0.0,0.6
gpt-oss-120b,3,3,28,0.75,1.0,0.375,1.0,0.7625
gpt-oss-120b,3,4,28,0.75,1.0,0.3,1.0,0.74
gpt-oss-120b,4,0,28,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,4,1,28,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,2,28,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,4,3,28,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,4,28,0.75,1.0,0.3,1.0,0.74
gpt-oss-120b,0,0,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,0,1,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,0,2,60,0.75,1.0,0.5,1.0,0.8
gpt-oss-120b,0,3,60,0.75,1.0,0.125,0.5,0.5875
gpt-oss-120b,0,4,60,0.75,1.0,0.20000000000000004,1.0,0.71
gpt-oss-120b,1,0,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,1,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,2,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,3,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,4,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,0,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,1,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,2,60,0.75,1.0,0.16666666666666666,0.5,0.6
gpt-oss-120b,2,3,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,4,60,0.75,1.0,0.20000000000000004,1.0,0.71
gpt-oss-120b,3,0,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,1,60,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,3,2,60,0.75,1.0,0.16666666666666666,0.5,0.6
gpt-oss-120b,3,3,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,4,60,0.75,1.0,0.10000000000000002,0.5,0.58
gpt-oss-120b,4,0,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,1,60,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,4,2,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,3,60,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,4,60,0.75,1.0,0.10000000000000002,0.5,0.58
gpt-oss-120b,0,0,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,0,1,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,0,2,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,0,3,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,0,4,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,0,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,1,120,0.75,1.0,0.25,0.5,0.625
gpt-oss-120b,1,2,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,3,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,1,4,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,0,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,1,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,2,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,3,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,4,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,0,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,1,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,2,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,3,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,3,4,120,0.75,1.0,0.10000000000000002,0.5,0.58
gpt-oss-120b,4,0,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,1,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,2,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,3,120,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,4,4,120,0.75,1.0,0.0,0.5,0.55
claude-opus-4-5-20251101,0,0,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,1,3,0.0,1.0,1.0,1.0,0.8
claude-opus-4-5-20251101,0,2,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,3,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,4,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,0,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,1,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,2,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,3,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,4,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,0,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,1,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,2,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,3,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,4,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,0,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,1,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,2,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,3,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,4,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,0,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,1,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,2,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,3,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,4,3,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,0,6,0.5,0.0,1.0,1.0,0.6
claude-opus-4-5-20251101,0,1,6,0.5,0.0,1.0,1.0,0.6
claude-opus-4-5-20251101,0,2,6,0.5,0.0,1.0,1.0,0.6
claude-opus-4-5-20251101,0,3,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,4,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,0,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,1,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,2,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,3,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,4,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,0,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,1,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,2,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,3,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,4,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,0,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,1,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,2,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,3,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,4,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,0,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,1,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,2,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,3,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,4,6,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,0,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,1,13,0.0,1.0,0.75,1.0,0.725
claude-opus-4-5-20251101,0,2,13,0.5,0.5555555555555556,1.0,1.0,0.7666666666666667
claude-opus-4-5-20251101,0,3,13,0.5,0.0,1.0,1.0,0.6
claude-opus-4-5-20251101,0,4,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,0,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,1,13,0.5,1.0,0.0,0.5,0.5
claude-opus-4-5-20251101,1,2,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,3,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,1,4,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,0,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,1,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,2,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,3,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,2,4,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,0,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,1,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,2,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,3,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,3,4,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,0,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,1,13,0.0,1.0,1.0,1.0,0.8
claude-opus-4-5-20251101,4,2,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,3,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,4,4,13,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,0,28,0.5,0.0,1.0,1.0,0.6
claude-opus-4-5-20251101,0,1,28,0.0,1.0,1.0,1.0,0.8
claude-opus-4-5-20251101,0,2,28,0.0,1.0,1.0,1.0,0.8
claude-opus-4-5-20251101,0,3,28,0.75,1.0,1.0,1.0,0.95
claude-opus-4-5-20251101,0,4,28,0.75,1.0,1.0,1.0,0.95
