model,ins_id,param_id,length,correct,num_text,ori,format,total_score
gpt-5.2,2,3,60,0.7891710069444444,0.22857142857142856,0.9915254237288136,1.0,0.7624346856503901
gpt-5.2,2,4,60,0.7135416666666666,0.11428571428571432,0.4975845410628019,1.0,0.5705551242236024
gpt-5.2,3,0,60,0.6961805555555556,1.0,0.9574468085106383,1.0,0.9264701536643025
gpt-5.2,3,1,60,0.9176432291666666,0.0,1.0,1.0,0.7335286458333333
gpt-5.2,3,2,60,0.8892144097222222,0.22857142857142856,0.9738005050505051,0.8,0.7271258906024531
gpt-5.2,3,3,60,0.7894965277777778,0.45714285714285713,1.0,1.0,0.8221850198412698
gpt-5.2,3,4,60,0.86328125,0.0,1.0,0.8,0.67265625
gpt-5.2,4,0,60,0.5856119791666666,0.22857142857142856,0.96,1.0,0.7122652529761904
gpt-5.2,4,1,60,0.8703342013888888,0.5714285714285714,0.9824561403508771,1.0,0.8616608252401837
gpt-5.2,4,2,60,0.7657335069444444,0.45714285714285713,0.9961538461538462,0.8,0.766278569520757
gpt-5.2,4,3,60,0.6484375,0.22857142857142856,0.5,1.0,0.5868303571428571
gpt-5.2,4,4,60,0.9384765625,0.45714285714285713,1.0,0.8,0.8019810267857143
gpt-5.2,0,0,120,0.5273038903061225,0.0,0.8786764705882352,1.0,0.6190637192376951
gpt-5.2,0,1,120,0.6214923469387754,0.0,0.9349593495934959,1.0,0.6547862742658038
gpt-5.2,0,2,120,0.39622528698979587,1.0,1.0,0.6,0.7792450573979591
gpt-5.2,0,3,120,0.593650350765306,0.0,0.9258620689655173,1.0,0.6464886908427163
gpt-5.2,0,4,120,0.6316964285714286,0.22857142857142856,0.49266247379454925,1.0,0.5812808849955077
gpt-5.2,1,0,120,0.4638671875,0.6857142857142857,0.995575221238938,0.6,0.7128745753002528
gpt-5.2,1,1,120,0.6800063775510204,0.0,0.9676616915422885,1.0,0.6762997829728906
gpt-5.2,1,2,120,0.7076092155612245,0.11428571428571432,0.9858990147783251,0.6,0.615862976117171
gpt-5.2,1,3,120,0.34151785714285715,0.11428571428571432,0.43333333333333335,1.0,0.476875
gpt-5.2,1,4,120,0.6383928571428571,0.34285714285714286,0.48333333333333334,0.5,0.4833928571428571
gpt-5.2,2,0,120,0.6091956313775511,0.5714285714285714,0.9109195402298851,1.0,0.7879721312016186
gpt-5.2,2,1,120,0.7228555484693877,0.0,0.9831460674157304,1.0,0.6895149299185966
gpt-5.2,2,2,120,0.5323660714285714,0.11428571428571432,0.5,0.8,0.4850446428571429
gpt-5.2,2,3,120,0.5225406568877551,0.0,0.9838709677419355,1.0,0.6496694217001316
gpt-5.2,2,4,120,0.31473214285714285,0.34285714285714286,0.5,1.0,0.5486607142857143
gpt-5.2,3,0,120,0.4812061543367347,0.0,0.9754601226993865,0.7,0.5638792676771629
gpt-5.2,3,1,120,0.7328802614795918,0.0,0.9912663755458514,0.7,0.6189559649596739
gpt-5.2,3,2,120,0.4536232461734694,0.6857142857142857,1.0,0.6,0.7121532206632654
gpt-5.2,3,3,120,0.4955357142857143,0.0,0.42320261437908496,0.7,0.40106792717086837
gpt-5.2,3,4,120,0.607680963010204,0.6857142857142857,1.0,0.6,0.7429647640306122
gpt-5.2,4,0,120,0.5659677933673469,0.0,0.8966942148760331,1.0,0.6322018231362793
gpt-5.2,4,1,120,0.6983219068877551,0.0,0.9788135593220338,0.7,0.6083084491741613
gpt-5.2,4,2,120,0.7633928571428572,0.0,0.9243827160493826,1.0,0.6799933862433862
gpt-5.2,4,3,120,0.4453922193877551,0.11428571428571432,0.8903508771929824,1.0,0.6347551356068744
gpt-5.2,4,4,120,0.5526347257653061,1.0,0.8663003663003662,0.8,0.8204170550431711
gpt-oss-120b,0,0,3,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,1,3,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,2,3,0.625,1.0,0.5,0.6,0.675
gpt-oss-120b,0,3,3,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,4,3,0.6875,1.0,0.9166666666666666,1.0,0.9125
gpt-oss-120b,1,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,1,1,3,0.875,0.5333333333333334,1.0,1.0,0.8583333333333334
gpt-oss-120b,1,2,3,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,1,3,3,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,1,4,3,0.6875,1.0,1.0,1.0,0.9375
gpt-oss-120b,2,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,2,1,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,2,2,3,1.0,0.2666666666666667,0.9583333333333334,0.8,0.7541666666666667
gpt-oss-120b,2,3,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,2,4,3,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,3,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,3,1,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,3,2,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,3,3,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,3,4,3,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,4,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,4,1,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,4,2,3,0.625,0.5333333333333334,1.0,0.8,0.7583333333333334
gpt-oss-120b,4,3,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,4,4,3,1.0,0.2666666666666667,1.0,0.8,0.7666666666666667
gpt-oss-120b,0,0,6,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,1,6,0.6111111111111112,1.0,1.0,1.0,0.9222222222222222
gpt-oss-120b,0,2,6,0.7361111111111112,1.0,0.5,0.6,0.6972222222222222
gpt-oss-120b,0,3,6,0.7361111111111112,0.0,1.0,1.0,0.6972222222222222
gpt-oss-120b,0,4,6,0.7777777777777777,1.0,0.49074074074074076,0.6,0.7027777777777777
gpt-oss-120b,1,0,6,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,1,1,6,0.6111111111111112,0.5333333333333334,1.0,1.0,0.8055555555555556
gpt-oss-120b,1,2,6,0.7361111111111112,1.0,0.5,0.6,0.6972222222222222
gpt-oss-120b,1,3,6,0.6111111111111112,0.0,0.9772727272727272,1.0,0.6654040404040404
gpt-oss-120b,1,4,6,0.7777777777777777,1.0,0.4583333333333333,0.6,0.6930555555555555
gpt-oss-120b,2,0,6,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,2,1,6,0.6111111111111112,1.0,1.0,1.0,0.9222222222222222
gpt-oss-120b,2,2,6,0.7361111111111112,0.5333333333333334,1.0,0.8,0.7805555555555556
gpt-oss-120b,2,3,6,0.6805555555555556,0.5333333333333334,0.875,1.0,0.7819444444444444
gpt-oss-120b,2,4,6,0.7777777777777777,1.0,0.5,0.6,0.7055555555555555
gpt-oss-120b,3,0,6,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,3,1,6,0.6111111111111112,1.0,0.5,0.3,0.5972222222222222
gpt-oss-120b,3,2,6,0.7361111111111112,1.0,0.5,0.6,0.6972222222222222
gpt-oss-120b,3,3,6,1.0,0.2666666666666667,0.9166666666666666,1.0,0.7916666666666667
gpt-oss-120b,3,4,6,0.7777777777777777,0.2666666666666667,0.5,0.6,0.5222222222222223
gpt-oss-120b,4,0,6,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,4,1,6,0.6111111111111112,0.2666666666666667,1.0,1.0,0.7388888888888889
gpt-oss-120b,4,2,6,0.7361111111111112,0.0,0.8125,0.8,0.5909722222222222
gpt-oss-120b,4,3,6,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-oss-120b,4,4,6,0.7777777777777777,1.0,0.8333333333333334,1.0,0.9055555555555556
gpt-oss-120b,0,0,13,0.31640625,0.64,1.0,1.0,0.7732812499999999
gpt-oss-120b,0,1,13,0.31640625,0.64,0.7857142857142857,1.0,0.7089955357142858
gpt-oss-120b,0,2,13,0.296875,0.64,0.9583333333333334,0.8,0.7068749999999999
gpt-oss-120b,0,3,13,0.14453125,1.0,0.9285714285714285,1.0,0.8074776785714285
gpt-oss-120b,0,4,13,0.453125,0.64,0.5,0.6,0.5506249999999999
gpt-oss-120b,1,0,13,0.203125,1.0,1.0,1.0,0.840625
gpt-oss-120b,1,1,13,0.31640625,1.0,1.0,1.0,0.86328125
gpt-oss-120b,1,2,13,0.45703125,0.64,0.5,0.6,0.55140625
gpt-oss-120b,1,3,13,0.2421875,0.64,0.9375,1.0,0.7396874999999999
gpt-oss-120b,1,4,13,0.421875,0.64,0.4761904761904762,0.6,0.5372321428571428
gpt-oss-120b,2,0,13,0.203125,0.32,0.7692307692307692,1.0,0.6013942307692307
gpt-oss-120b,2,1,13,0.31640625,1.0,0.4166666666666667,0.3,0.51328125
gpt-oss-120b,2,2,13,0.34765625,0.64,0.5,0.6,0.52953125
gpt-oss-120b,2,3,13,0.2421875,0.64,1.0,1.0,0.7584375
gpt-oss-120b,2,4,13,0.4140625,1.0,0.4047619047619047,0.6,0.6042410714285714
gpt-oss-120b,3,0,13,0.203125,0.48,1.0,1.0,0.7106250000000001
gpt-oss-120b,3,1,13,0.203125,0.32,0.9375,1.0,0.651875
gpt-oss-120b,3,2,13,0.34375,0.64,0.9444444444444443,0.8,0.7120833333333334
gpt-oss-120b,3,3,13,0.23828125,0.48,0.8541666666666666,1.0,0.67390625
gpt-oss-120b,3,4,13,0.71875,0.48,0.9,1.0,0.7837500000000001
gpt-oss-120b,4,0,13,0.203125,1.0,1.0,1.0,0.840625
gpt-oss-120b,4,1,13,0.31640625,1.0,0.9166666666666666,1.0,0.83828125
gpt-oss-120b,4,2,13,0.33203125,0.32,0.986111111111111,0.8,0.6422395833333333
gpt-oss-120b,4,3,13,0.296875,0.32,0.9423076923076922,1.0,0.6720673076923076
gpt-oss-120b,4,4,13,0.453125,1.0,0.875,0.8,0.803125
gpt-oss-120b,0,0,28,0.2857142857142857,0.4,0.8125,1.0,0.6508928571428572
gpt-oss-120b,0,1,28,0.036281179138321996,0.4,1.0,1.0,0.6572562358276645
gpt-oss-120b,0,2,28,0.2372448979591837,0.6666666666666667,0.4375,0.6,0.4953656462585034
gpt-oss-120b,0,3,28,0.0719954648526077,0.6666666666666667,0.8333333333333334,1.0,0.6810657596371883
gpt-oss-120b,0,4,28,0.44954648526077096,0.6666666666666667,0.9255952380952381,0.8,0.7342545351473924
gpt-oss-120b,1,0,28,0.15192743764172334,0.5333333333333334,0.4166666666666667,1.0,0.538718820861678
gpt-oss-120b,1,1,28,0.036281179138321996,0.5333333333333334,0.75,1.0,0.6155895691609977
gpt-oss-120b,1,2,28,0.19926303854875282,0.5333333333333334,0.53125,1.0,0.582560941043084
gpt-oss-120b,1,3,28,0.13010204081632654,1.0,0.7692307692307692,1.0,0.7567896389324961
gpt-oss-120b,1,4,28,0.3356009070294784,0.6666666666666667,0.44871794871794873,0.6,0.5184022326879469
gpt-oss-120b,2,0,28,0.11224489795918367,0.5333333333333334,0.4375,1.0,0.5370323129251701
gpt-oss-120b,2,1,28,0.11224489795918367,0.6666666666666667,0.923076923076923,1.0,0.7160387231815803
gpt-oss-120b,2,2,28,0.2590702947845805,0.6666666666666667,0.4583333333333333,0.3,0.43098072562358275
gpt-oss-120b,2,3,28,0.12613378684807255,0.4,0.36764705882352944,0.3,0.31052087501667336
gpt-oss-120b,2,4,28,0.4189342403628118,1.0,0.48717948717948717,0.6,0.6299406942264085
gpt-oss-120b,3,0,28,0.11224489795918367,0.5333333333333334,0.8095238095238096,1.0,0.648639455782313
gpt-oss-120b,3,1,28,0.15192743764172334,1.0,0.7058823529411765,1.0,0.7421501934106975
gpt-oss-120b,3,2,28,0.20153061224489796,0.5333333333333334,0.3666666666666667,0.6,0.43363945578231294
gpt-oss-120b,3,3,28,0.16128117913832202,1.0,0.8181818181818182,1.0,0.7777107812822098
gpt-oss-120b,3,4,28,0.3815192743764172,0.5333333333333334,1.0,0.8,0.7096371882086168
gpt-oss-120b,4,0,28,0.31972789115646255,0.5333333333333334,0.4666666666666666,1.0,0.5872789115646259
gpt-oss-120b,4,1,28,0.036281179138321996,0.5333333333333334,0.23809523809523805,1.0,0.4620181405895692
gpt-oss-120b,4,2,28,0.2193877551020408,0.4,0.4166666666666667,0.6,0.41887755102040813
gpt-oss-120b,4,3,28,0.14342403628117914,0.6666666666666667,0.7857142857142857,1.0,0.6810657596371883
gpt-oss-120b,4,4,28,0.38321995464852604,0.6666666666666667,0.9642857142857143,0.8,0.7325963718820862
gpt-oss-120b,0,0,60,0.06358506944444445,1.0,0.7391304347826088,1.0,0.7344561443236716
gpt-oss-120b,0,1,60,0.031684027777777776,0.6857142857142857,0.20000000000000004,1.0,0.48776537698412703
gpt-oss-120b,0,2,60,0.1736111111111111,0.45714285714285713,0.4264705882352941,0.6,0.42694911297852467
gpt-oss-120b,0,3,60,0.05479600694444445,0.45714285714285713,0.6111111111111112,1.0,0.5585782490079365
gpt-oss-120b,0,4,60,0.3441840277777778,1.0,0.6375000000000001,0.8,0.7100868055555556
gpt-oss-120b,1,0,60,0.09613715277777778,0.6857142857142857,0.17741935483870966,0.3,0.3188818084357399
gpt-oss-120b,1,1,60,0.0478515625,0.5714285714285714,0.6470588235294118,1.0,0.5965451024159665
gpt-oss-120b,1,2,60,0.1494140625,0.5714285714285714,0.6590909090909091,1.0,0.6204672280844156
gpt-oss-120b,1,3,60,0.07161458333333333,0.6857142857142857,0.6666666666666666,1.0,0.6357514880952382
gpt-oss-120b,1,4,60,0.2973090277777778,0.45714285714285713,0.875,1.0,0.6862475198412699
gpt-oss-120b,2,0,60,0.06358506944444445,0.6857142857142857,0.23076923076923075,0.3,0.32837635454822955
gpt-oss-120b,2,1,60,0.0478515625,1.0,0.411764705882353,1.0,0.6330997242647058
gpt-oss-120b,2,2,60,0.1566840277777778,0.34285714285714286,0.4230769230769231,0.6,0.3939741681929182
gpt-oss-120b,2,3,60,0.0791015625,0.34285714285714286,0.5,0.3,0.3265345982142857
gpt-oss-120b,2,4,60,0.22960069444444445,0.45714285714285713,0.5925925925925927,1.0,0.5879836309523809
gpt-oss-120b,3,0,60,0.0642361111111111,0.5714285714285714,0.34782608695652173,1.0,0.5100521911663216
gpt-oss-120b,3,1,60,0.0478515625,0.6857142857142857,0.7647058823529411,1.0,0.6604106486344538
gpt-oss-120b,3,2,60,0.1254340277777778,0.5714285714285714,0.4423076923076923,0.6,0.45063625610500607
gpt-oss-120b,3,3,60,0.0556640625,1.0,0.47222222222222215,1.0,0.6527994791666666
gpt-oss-120b,3,4,60,0.2608506944444445,0.5714285714285714,0.75,1.0,0.6700272817460318
gpt-oss-120b,4,0,60,0.06380208333333333,0.45714285714285713,0.6666666666666666,1.0,0.5770461309523809
gpt-oss-120b,4,1,60,0.031684027777777776,0.6857142857142857,0.7647058823529411,1.0,0.6571771416900093
gpt-oss-120b,4,2,60,0.1892361111111111,0.22857142857142856,0.2857142857142857,0.6,0.33070436507936507
gpt-oss-120b,4,3,60,0.0876736111111111,0.34285714285714286,0.375,1.0,0.4657490079365079
gpt-oss-120b,4,4,60,0.3546006944444445,0.5714285714285714,0.6984126984126985,0.8,0.6233010912698413
gpt-oss-120b,0,0,120,0.027104591836734693,0.5714285714285714,0.19512195121951223,1.0,0.45681464659034343
gpt-oss-120b,0,1,120,0.020268654336734696,0.5714285714285714,0.5333333333333333,1.0,0.5569108737244898
gpt-oss-120b,0,2,120,0.12396364795918367,0.45714285714285713,0.6306818181818182,0.8,0.5282829893320964
gpt-oss-120b,0,3,120,0.013392857142857142,0.5714285714285714,0.2857142857142857,1.0,0.48125
gpt-oss-120b,0,4,120,0.3348413584183673,1.0,0.3833333333333333,0.6,0.5819682716836734
gpt-oss-120b,1,0,120,0.04081632653061225,0.6857142857142857,0.8181818181818182,1.0,0.6750463821892393
gpt-oss-120b,1,1,120,0.033701371173469385,0.0,0.16483516483516483,0.8,0.2561908236852434
gpt-oss-120b,1,2,120,0.12055564413265306,0.45714285714285713,0.3958333333333333,0.6,0.4071468431122449
gpt-oss-120b,1,3,120,0.006696428571428571,0.6857142857142857,0.1956521739130435,0.3,0.3064635093167702
gpt-oss-120b,1,4,120,0.23216278698979592,0.34285714285714286,0.8095238095238096,1.0,0.6250039859693878
gpt-oss-120b,2,0,120,0.0547672193877551,0.0,0.2619047619047619,1.0,0.3395248724489796
gpt-oss-120b,2,1,120,0.020268654336734696,1.0,0.3888888888888889,1.0,0.6207203975340136
gpt-oss-120b,2,2,120,0.12725207270408162,1.0,0.421875,0.3,0.47701291454081635
gpt-oss-120b,2,3,120,0.03685028698979592,0.45714285714285713,0.3055555555555555,0.3,0.2883224383503401
gpt-oss-120b,2,4,120,0.33705357142857145,0.0,0.4795321637426901,0.3,0.2862703634085213
gpt-oss-120b,3,0,120,0.013472576530612243,0.5714285714285714,0.38095238095238093,1.0,0.5098373724489795
gpt-oss-120b,3,1,120,0.013472576530612243,0.45714285714285713,0.5384615384615384,1.0,0.5285186911302983
gpt-oss-120b,3,2,120,0.02010921556122449,0.11428571428571432,0.4000000000000001,1.0,0.4025932716836735
gpt-oss-120b,3,3,120,0.03714923469387755,0.45714285714285713,0.6785714285714285,1.0,0.5752869897959184
gpt-oss-120b,3,4,120,0.3348413584183673,0.5714285714285714,0.5789473684210527,1.0,0.6335096250671322
gpt-oss-120b,4,0,120,0.02702487244897959,0.5714285714285714,0.8000000000000002,1.0,0.6382621173469388
gpt-oss-120b,4,1,120,0.020268654336734696,0.22857142857142856,0.4000000000000001,1.0,0.4311965880102041
gpt-oss-120b,4,2,120,0.11385921556122448,1.0,0.6416666666666667,0.8,0.6652718431122449
gpt-oss-120b,4,3,120,0.013412786989795918,0.45714285714285713,0.09375,1.0,0.3950932716836735
gpt-oss-120b,4,4,120,0.2790377869897959,0.34285714285714286,0.48765432098765427,1.0,0.5378181394085412
claude-opus-4-5-20251101,0,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
claude-opus-4-5-20251101,0,1,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
claude-opus-4-5-20251101,0,2,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
