model,ins_id,param_id,length,candi_ori,logit_correct,num_doc,format,total_score
gpt-5.2,1,3,6,1.0,0.9499999999999998,1.0,0.6,0.8464285714285714
gpt-5.2,1,4,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,2,0,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,2,1,6,1.0,0.9,1.0,0.6,0.8357142857142856
gpt-5.2,2,2,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,2,3,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,2,4,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,3,0,6,1.0,0.9499999999999998,1.0,1.0,0.9892857142857142
gpt-5.2,3,1,6,1.0,0.9499999999999998,1.0,0.6,0.8464285714285714
gpt-5.2,3,2,6,1.0,0.9499999999999998,1.0,0.6,0.8464285714285714
gpt-5.2,3,3,6,1.0,0.65,1.0,1.0,0.9249999999999999
gpt-5.2,3,4,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,4,1,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,4,2,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,4,3,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,4,4,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,0,0,13,1.0,0.8666666666666667,1.0,0.6,0.8285714285714285
gpt-5.2,0,1,13,1.0,0.8888888888888888,1.0,1.0,0.9761904761904762
gpt-5.2,0,2,13,1.0,0.8222222222222223,1.0,1.0,0.9619047619047619
gpt-5.2,0,3,13,1.0,0.8444444444444444,1.0,1.0,0.9666666666666667
gpt-5.2,0,4,13,1.0,0.9111111111111111,1.0,1.0,0.980952380952381
gpt-5.2,1,0,13,1.0,0.9111111111111111,1.0,0.6,0.8380952380952381
gpt-5.2,1,1,13,1.0,0.8666666666666667,1.0,0.6,0.8285714285714285
gpt-5.2,1,2,13,1.0,0.9111111111111111,1.0,0.6,0.8380952380952381
gpt-5.2,1,3,13,1.0,0.8888888888888888,1.0,0.6,0.8333333333333333
gpt-5.2,1,4,13,1.0,0.9111111111111111,1.0,1.0,0.980952380952381
gpt-5.2,2,0,13,1.0,0.8444444444444444,1.0,0.6,0.8238095238095238
gpt-5.2,2,1,13,1.0,0.8666666666666667,1.0,0.6,0.8285714285714285
gpt-5.2,2,2,13,1.0,0.8666666666666667,1.0,0.6,0.8285714285714285
gpt-5.2,2,3,13,1.0,0.6888888888888888,1.0,0.6,0.7904761904761904
gpt-5.2,2,4,13,1.0,0.9333333333333332,1.0,0.6,0.8428571428571429
gpt-5.2,3,0,13,1.0,0.8666666666666667,1.0,0.6,0.8285714285714285
gpt-5.2,3,1,13,1.0,0.7777777777777778,1.0,0.6,0.8095238095238095
gpt-5.2,3,2,13,1.0,0.8888888888888888,1.0,0.6,0.8333333333333333
gpt-5.2,3,3,13,1.0,0.6444444444444445,1.0,1.0,0.9238095238095239
gpt-5.2,3,4,13,1.0,0.9333333333333332,1.0,0.8,0.9142857142857144
gpt-5.2,4,0,13,1.0,0.8888888888888888,1.0,0.6,0.8333333333333333
gpt-5.2,4,1,13,1.0,0.8444444444444444,1.0,0.6,0.8238095238095238
gpt-5.2,4,2,13,1.0,0.8888888888888888,1.0,0.6,0.8333333333333333
gpt-5.2,4,3,13,1.0,0.6888888888888888,1.0,0.6,0.7904761904761904
gpt-5.2,4,4,13,1.0,0.9111111111111111,1.0,0.6,0.8380952380952381
gpt-5.2,0,0,28,1.0,0.9387755102040817,1.0,0.6,0.8440233236151603
gpt-5.2,0,1,28,1.0,0.9591836734693877,1.0,1.0,0.9912536443148687
gpt-5.2,0,2,28,1.0,0.9183673469387755,1.0,1.0,0.9825072886297377
gpt-5.2,0,3,28,1.0,0.673469387755102,1.0,1.0,0.9300291545189504
gpt-5.2,0,4,28,1.0,0.9489795918367347,1.0,1.0,0.989067055393586
gpt-5.2,1,0,28,1.0,0.9693877551020408,1.0,1.0,0.9934402332361516
gpt-5.2,1,1,28,1.0,0.9489795918367347,1.0,1.0,0.989067055393586
gpt-5.2,1,2,28,1.0,0.9489795918367347,1.0,1.0,0.989067055393586
gpt-5.2,1,3,28,1.0,0.7857142857142857,1.0,1.0,0.9540816326530612
gpt-5.2,1,4,28,1.0,0.9183673469387755,1.0,1.0,0.9825072886297377
gpt-5.2,2,0,28,1.0,0.9387755102040817,1.0,0.6,0.8440233236151603
gpt-5.2,2,1,28,1.0,0.9489795918367347,1.0,0.6,0.8462099125364431
gpt-5.2,2,2,28,1.0,0.9489795918367347,1.0,0.6,0.8462099125364431
gpt-5.2,2,3,28,1.0,0.6938775510204082,1.0,0.6,0.7915451895043731
gpt-5.2,2,4,28,1.0,0.9183673469387755,1.0,0.6,0.8396501457725948
gpt-5.2,3,0,28,1.0,0.9387755102040817,1.0,1.0,0.9868804664723031
gpt-5.2,3,1,28,1.0,0.9387755102040817,1.0,1.0,0.9868804664723031
gpt-5.2,3,2,28,1.0,0.9183673469387755,1.0,1.0,0.9825072886297377
gpt-5.2,3,3,28,1.0,0.7040816326530613,1.0,1.0,0.9365889212827988
gpt-5.2,3,4,28,1.0,0.9387755102040817,1.0,1.0,0.9868804664723031
gpt-5.2,4,0,28,1.0,0.9591836734693877,1.0,0.6,0.8483965014577259
gpt-5.2,4,1,28,1.0,0.9387755102040817,1.0,0.6,0.8440233236151603
gpt-5.2,4,2,28,1.0,0.9387755102040817,1.0,0.6,0.8440233236151603
gpt-5.2,4,3,28,1.0,0.7040816326530613,1.0,0.6,0.7937317784256559
gpt-5.2,4,4,28,1.0,0.9387755102040817,1.0,1.0,0.9868804664723031
gpt-5.2,0,0,60,1.0,0.9488372093023255,1.0,1.0,0.9890365448504984
gpt-5.2,0,1,60,1.0,0.9488372093023255,1.0,0.6,0.8461794019933555
gpt-5.2,0,2,60,1.0,0.9069767441860465,1.0,1.0,0.9800664451827242
gpt-5.2,0,3,60,1.0,0.5953488372093023,1.0,1.0,0.9132890365448505
gpt-5.2,0,4,60,1.0,0.9116279069767442,1.0,1.0,0.9810631229235881
gpt-5.2,1,0,60,1.0,0.9255813953488371,1.0,1.0,0.9840531561461793
gpt-5.2,1,1,60,1.0,0.9116279069767442,1.0,1.0,0.9810631229235881
gpt-5.2,1,2,60,1.0,0.827906976744186,1.0,1.0,0.9631229235880399
gpt-5.2,1,3,60,1.0,0.6139534883720931,1.0,0.6,0.7744186046511629
gpt-5.2,1,4,60,1.0,0.9116279069767442,1.0,0.6,0.8382059800664452
gpt-5.2,2,0,60,1.0,0.9255813953488371,1.0,0.6,0.8411960132890365
gpt-5.2,2,1,60,1.0,0.9395348837209302,1.0,0.6,0.8441860465116279
gpt-5.2,2,2,60,1.0,0.9162790697674419,1.0,0.6,0.8392026578073091
gpt-5.2,2,3,60,1.0,0.6046511627906976,1.0,1.0,0.915282392026578
gpt-5.2,2,4,60,1.0,0.944186046511628,1.0,0.6,0.8451827242524917
gpt-5.2,3,0,60,1.0,0.8837209302325583,1.0,1.0,0.9750830564784054
gpt-5.2,3,1,60,1.0,0.9116279069767442,1.0,1.0,0.9810631229235881
gpt-5.2,3,2,60,1.0,0.944186046511628,1.0,1.0,0.9880398671096345
gpt-5.2,3,3,60,1.0,0.5767441860465117,1.0,0.6,0.7664451827242525
gpt-5.2,3,4,60,1.0,0.9069767441860465,1.0,1.0,0.9800664451827242
gpt-5.2,4,0,60,1.0,0.9395348837209302,1.0,0.6,0.8441860465116279
gpt-5.2,4,1,60,1.0,0.8837209302325583,1.0,1.0,0.9750830564784054
gpt-5.2,4,2,60,1.0,0.9162790697674419,1.0,0.6,0.8392026578073091
gpt-5.2,4,3,60,1.0,0.6186046511627907,1.0,0.6,0.7754152823920266
gpt-5.2,4,4,60,1.0,0.9209302325581395,1.0,0.6,0.8401993355481727
gpt-5.2,0,0,120,1.0,0.859122401847575,1.0,0.6,0.826954800395909
gpt-5.2,0,1,120,1.0,0.810623556581986,1.0,1.0,0.9594193335532827
gpt-5.2,0,2,120,1.0,0.882217090069284,1.0,1.0,0.9747608050148465
gpt-5.2,0,3,120,1.0,0.6166281755196305,1.0,0.6,0.7749917518970637
gpt-5.2,0,4,120,1.0,0.8799076212471132,1.0,0.6,0.8314087759815243
gpt-5.2,1,0,120,1.0,0.8383371824480369,1.0,1.0,0.9653579676674365
gpt-5.2,1,1,120,1.0,0.792147806004619,1.0,1.0,0.9554602441438469
gpt-5.2,1,2,120,1.0,0.8568129330254042,1.0,1.0,0.9693170570768723
gpt-5.2,1,3,120,1.0,0.6004618937644342,1.0,1.0,0.9143846915209501
gpt-5.2,1,4,120,1.0,0.8914549653579676,1.0,0.6,0.8338832068624217
gpt-5.2,2,0,120,0.0,0.0,0.7871439568899153,0.0,0.16867370504783902
gpt-5.2,2,1,120,1.0,0.8244803695150115,1.0,0.6,0.8195315077532168
gpt-5.2,2,2,120,1.0,0.8290993071593533,1.0,0.6,0.8205212801055757
gpt-5.2,2,3,120,1.0,0.6073903002309469,1.0,0.6,0.7730122071923458
gpt-5.2,2,4,120,0.0,0.0,0.7890685142417243,0.0,0.16908611019465522
gpt-5.2,3,0,120,1.0,0.8545034642032333,1.0,1.0,0.9688221709006929
gpt-5.2,3,1,120,1.0,0.8983833718244804,1.0,1.0,0.9782250082481029
gpt-5.2,3,2,120,1.0,0.8868360277136259,1.0,1.0,0.9757505773672055
gpt-5.2,3,3,120,1.0,0.628175519630485,1.0,0.6,0.7774661827779611
gpt-5.2,3,4,120,1.0,0.9053117782909931,1.0,1.0,0.9797096667766414
gpt-5.2,4,0,120,0.0,0.0,0.7871439568899153,0.0,0.16867370504783902
gpt-5.2,4,1,120,1.0,0.8914549653579676,1.0,1.0,0.9767403497195646
gpt-5.2,4,2,120,1.0,0.8475750577367206,1.0,1.0,0.9673375123721544
gpt-5.2,4,3,120,1.0,0.6120092378752887,1.0,1.0,0.9168591224018475
gpt-5.2,4,4,120,0.0,0.0,0.7890685142417243,0.0,0.16908611019465522
gpt-oss-120b,0,0,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,0,1,3,1.0,0.5,1.0,0.4,0.6785714285714286
gpt-oss-120b,0,2,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,0,3,3,1.0,0.5,1.0,0.4,0.6785714285714286
gpt-oss-120b,0,4,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,1,0,3,1.0,0.6,1.0,0.8,0.8428571428571429
gpt-oss-120b,1,1,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,1,2,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,1,3,3,1.0,0.5,1.0,0.4,0.6785714285714286
gpt-oss-120b,1,4,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,2,0,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,2,1,3,1.0,0.6,1.0,0.6,0.7714285714285715
gpt-oss-120b,2,2,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,2,3,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,2,4,3,1.0,0.4000000000000001,1.0,0.4,0.6571428571428571
gpt-oss-120b,3,0,3,1.0,0.6,1.0,0.8,0.8428571428571429
gpt-oss-120b,3,1,3,1.0,0.6999999999999998,1.0,0.4,0.7214285714285714
gpt-oss-120b,3,2,3,1.0,0.6999999999999998,1.0,0.4,0.7214285714285714
gpt-oss-120b,3,3,3,1.0,0.5,1.0,0.4,0.6785714285714286
gpt-oss-120b,3,4,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,4,0,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,4,1,3,1.0,0.6999999999999998,1.0,0.4,0.7214285714285714
gpt-oss-120b,4,2,3,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,4,3,3,1.0,0.5,1.0,0.4,0.6785714285714286
gpt-oss-120b,4,4,3,1.0,0.5,1.0,0.4,0.6785714285714286
gpt-oss-120b,0,0,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,0,1,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,0,2,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,0,3,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,0,4,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,1,0,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,1,1,6,1.0,0.65,1.0,0.8,0.8535714285714285
gpt-oss-120b,1,2,6,1.0,0.65,1.0,0.4,0.7107142857142856
gpt-oss-120b,1,3,6,1.0,0.5,1.0,0.4,0.6785714285714286
gpt-oss-120b,1,4,6,1.0,0.65,1.0,0.4,0.7107142857142856
gpt-oss-120b,2,0,6,1.0,0.65,1.0,0.4,0.7107142857142856
gpt-oss-120b,2,1,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,2,2,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,2,3,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,2,4,6,1.0,0.6999999999999998,1.0,0.4,0.7214285714285714
gpt-oss-120b,3,0,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,3,1,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,3,2,6,1.0,0.65,1.0,0.4,0.7107142857142856
gpt-oss-120b,3,3,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,3,4,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,4,0,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,4,1,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,4,2,6,1.0,0.65,1.0,0.4,0.7107142857142856
gpt-oss-120b,4,3,6,1.0,0.55,1.0,0.4,0.6892857142857143
gpt-oss-120b,4,4,6,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,0,0,13,1.0,0.5777777777777777,1.0,0.4,0.6952380952380952
gpt-oss-120b,0,1,13,1.0,0.6444444444444445,1.0,0.4,0.7095238095238096
gpt-oss-120b,0,2,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,0,3,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,0,4,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,1,0,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,1,1,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,1,2,13,1.0,0.6444444444444445,1.0,0.4,0.7095238095238096
gpt-oss-120b,1,3,13,1.0,0.6666666666666666,1.0,0.4,0.7142857142857143
gpt-oss-120b,1,4,13,1.0,0.6666666666666666,1.0,0.4,0.7142857142857143
gpt-oss-120b,2,0,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,2,1,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,2,2,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,2,3,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,2,4,13,1.0,0.6888888888888888,1.0,0.4,0.719047619047619
gpt-oss-120b,3,0,13,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,3,1,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,3,2,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,3,3,13,1.0,0.6444444444444445,1.0,0.4,0.7095238095238096
gpt-oss-120b,3,4,13,1.0,0.6666666666666666,1.0,0.4,0.7142857142857143
gpt-oss-120b,4,0,13,0.9777777777777777,0.6,1.0,0.4,0.6952380952380952
gpt-oss-120b,4,1,13,1.0,0.6,1.0,0.4,0.7000000000000001
gpt-oss-120b,4,2,13,1.0,0.6222222222222222,1.0,0.4,0.7047619047619048
gpt-oss-120b,4,3,13,1.0,0.6444444444444445,1.0,0.4,0.7095238095238096
gpt-oss-120b,4,4,13,1.0,0.6888888888888888,1.0,0.4,0.719047619047619
gpt-oss-120b,0,0,28,0.0,0.0,0.8163265306122449,0.4,0.3177842565597668
gpt-oss-120b,0,1,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,0,2,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,0,3,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,0,4,28,1.0,0.7244897959183674,1.0,0.4,0.7266763848396501
gpt-oss-120b,1,0,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,1,1,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,1,2,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,1,3,28,1.0,0.6836734693877551,1.0,0.4,0.7179300291545189
gpt-oss-120b,1,4,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,2,0,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,2,1,28,0.0,0.0,0.8163265306122449,0.6,0.3892128279883382
gpt-oss-120b,2,2,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,2,3,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,2,4,28,0.0,0.0,0.8163265306122449,0.4,0.3177842565597668
gpt-oss-120b,3,0,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,3,1,28,0.0,0.0,0.8163265306122449,0.4,0.3177842565597668
gpt-oss-120b,3,2,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,3,3,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,3,4,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,4,0,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,4,1,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,4,2,28,0.0,0.0,0.8163265306122449,0.4,0.3177842565597668
gpt-oss-120b,4,3,28,0.0,0.0,0.8248299319727891,0.4,0.3196064139941691
gpt-oss-120b,4,4,28,1.0,0.6938775510204082,1.0,0.4,0.7201166180758017
gpt-oss-120b,0,0,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,0,1,60,0.9953488372093023,0.6139534883720931,1.0,0.4,0.7019933554817276
gpt-oss-120b,0,2,60,1.0,0.6139534883720931,1.0,0.4,0.7029900332225915
gpt-oss-120b,0,3,60,1.0,0.627906976744186,1.0,0.4,0.7059800664451827
gpt-oss-120b,0,4,60,1.0,0.6744186046511628,1.0,0.4,0.7159468438538206
gpt-oss-120b,1,0,60,0.0,0.0,0.8217054263565892,0.4,0.31893687707641194
gpt-oss-120b,1,1,60,1.0,0.627906976744186,1.0,0.4,0.7059800664451827
gpt-oss-120b,1,2,60,1.0,0.627906976744186,1.0,0.4,0.7059800664451827
gpt-oss-120b,1,3,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,1,4,60,1.0,0.6744186046511628,1.0,0.4,0.7159468438538206
gpt-oss-120b,2,0,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,2,1,60,1.0,0.5906976744186047,1.0,0.4,0.6980066445182723
gpt-oss-120b,2,2,60,0.0,0.0,0.7751937984496124,0.4,0.3089700996677741
gpt-oss-120b,2,3,60,0.0,0.0,0.7790697674418604,0.4,0.30980066445182725
gpt-oss-120b,2,4,60,1.0,0.6558139534883721,1.0,0.4,0.7119601328903655
gpt-oss-120b,3,0,60,1.0,0.6372093023255814,1.0,0.4,0.7079734219269103
gpt-oss-120b,3,1,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,3,2,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,3,3,60,1.0,0.6186046511627907,1.0,0.4,0.7039867109634551
gpt-oss-120b,3,4,60,1.0,0.6744186046511628,1.0,0.4,0.7159468438538206
gpt-oss-120b,4,0,60,1.0,0.6232558139534884,1.0,0.4,0.7049833887043189
gpt-oss-120b,4,1,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,4,2,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,4,3,60,1.0,0.6325581395348837,1.0,0.4,0.7069767441860465
gpt-oss-120b,4,4,60,1.0,0.6790697674418604,1.0,0.4,0.7169435215946844
gpt-oss-120b,0,0,120,0.0,0.0,0.7871439568899153,0.0,0.16867370504783902
gpt-oss-120b,0,1,120,0.0,0.0,0.4311008468052348,0.4,0.23523589574397888
gpt-oss-120b,0,2,120,0.0,0.0,0.8006158583525789,0.4,0.3144176839326955
gpt-oss-120b,0,3,120,0.0,0.0,0.7929176289453426,0.0,0.16991092048828768
gpt-oss-120b,0,4,120,0.0,0.0,0.7871439568899153,0.0,0.16867370504783902
gpt-oss-120b,1,0,120,0.0,0.0,0.05581216320246348,0.02586605080831409,0.02119762454635435
gpt-oss-120b,1,1,120,0.0,0.0,0.8217859892224788,0.4,0.31895414054767407
gpt-oss-120b,1,2,120,0.0,0.0,0.7909930715935335,0.0,0.16949851534147145
gpt-oss-120b,1,3,120,0.0,0.0,0.7909930715935335,0.0,0.16949851534147145
gpt-oss-120b,1,4,120,0.0,0.0,0.7871439568899153,0.0,0.16867370504783902
gpt-oss-120b,2,0,120,0.0,0.0,0.7871439568899153,0.0,0.16867370504783902
gpt-oss-120b,2,1,120,0.0,0.0,0.35411855273287146,0.4,0.2187396898713296
gpt-oss-120b,2,2,120,0.0,0.0,0.8140877598152425,0.4,0.3173045199604091
gpt-oss-120b,2,3,120,0.0,0.0,0.8102386451116242,0.4,0.31647970966677663
gpt-oss-120b,2,4,120,0.0,0.0,0.7909930715935335,0.0,0.16949851534147145
gpt-oss-120b,3,0,120,0.0,0.0,0.7909930715935335,0.4,0.3123556581986143
gpt-oss-120b,3,1,120,0.0,0.0,0.7043879907621248,0.8,0.43665456944902675
gpt-oss-120b,3,2,120,0.0,0.0,0.6832178598922248,0.8,0.43211811283404816
gpt-oss-120b,3,3,120,0.0,0.0,0.8198614318706697,0.4,0.3185417354008578
gpt-oss-120b,3,4,120,0.0,0.0,0.8294842186297151,0.8,0.4634609039920818
gpt-oss-120b,4,0,120,0.0,0.0,0.7871439568899153,0.0,0.16867370504783902
gpt-oss-120b,4,1,120,0.0,0.0,0.8006158583525789,0.4,0.3144176839326955
gpt-oss-120b,4,2,120,0.0,0.0,0.7909930715935335,0.0,0.16949851534147145
gpt-oss-120b,4,3,120,0.0,0.0,0.7698229407236336,0.4,0.3078192015836358
gpt-oss-120b,4,4,120,0.0,0.0,0.8063895304080062,0.0,0.17279775651600132
claude-opus-4-5-20251101,0,0,3,1.0,0.9,1.0,0.6,0.8357142857142856
claude-opus-4-5-20251101,0,1,3,1.0,0.8000000000000002,1.0,0.6,0.8142857142857143
claude-opus-4-5-20251101,0,2,3,1.0,0.9,1.0,0.6,0.8357142857142856
claude-opus-4-5-20251101,0,3,3,1.0,0.6999999999999998,1.0,0.4,0.7214285714285714
claude-opus-4-5-20251101,0,4,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,1,0,3,1.0,0.9,1.0,0.6,0.8357142857142856
claude-opus-4-5-20251101,1,1,3,1.0,0.8000000000000002,1.0,0.6,0.8142857142857143
claude-opus-4-5-20251101,1,2,3,1.0,0.9,1.0,0.6,0.8357142857142856
claude-opus-4-5-20251101,1,3,3,1.0,0.6999999999999998,1.0,0.4,0.7214285714285714
claude-opus-4-5-20251101,1,4,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,2,0,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,2,1,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,2,2,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,2,3,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,2,4,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,3,0,3,1.0,0.9,1.0,0.4,0.7642857142857142
claude-opus-4-5-20251101,3,1,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,3,2,3,1.0,1.0,1.0,0.4,0.7857142857142857
claude-opus-4-5-20251101,3,3,3,1.0,0.6,1.0,0.6,0.7714285714285715
